Node	Time	Res_CapacityDownVolume
1	1	427.0
1	2	430.0
1	3	422.0
1	4	422.0
1	5	450.0
1	6	400.0
1	7	250.0
1	8	250.0
1	9	250.0
1	10	250.0
1	11	300.0
1	12	472.0
1	13	489.0
1	14	489.0
1	15	387.0
1	16	200.0
1	17	200.0
1	18	200.0
1	19	300.0
1	20	300.0
1	21	300.0
1	22	300.0
1	23	350.0
1	24	378.0
2	1	279.0
2	2	311.0
2	3	285.0
2	4	311.0
2	5	311.0
2	6	283.0
2	7	257.0
2	8	207.0
2	9	257.0
2	10	257.0
2	11	267.0
2	12	306.0
2	13	309.0
2	14	311.0
2	15	311.0
2	16	257.0
2	17	227.0
2	18	200.0
2	19	227.0
2	20	250.0
2	21	300.0
2	22	311.0
2	23	311.0
2	24	50.0
3	1	50.0
3	2	50.0
3	3	90.0
3	4	90.0
3	5	87.0
3	6	87.0
3	7	90.0
3	8	90.0
3	9	90.0
3	10	90.0
3	11	90.0
3	12	90.0
3	13	90.0
3	14	90.0
3	15	90.0
3	16	90.0
3	17	90.0
3	18	90.0
3	19	50.0
3	20	50.0
3	21	50.0
3	22	50.0
3	23	50.0
3	24	50.0
4	1	50.0
4	2	50.0
4	3	90.0
4	4	90.0
4	5	100.0
4	6	100.0
4	7	100.0
4	8	150.0
4	9	100.0
4	10	100.0
4	11	90.0
4	12	90.0
4	13	100.0
4	14	100.0
4	15	100.0
4	16	128.0
4	17	150.0
4	18	100.0
4	19	50.0
4	20	50.0
4	21	50.0
4	22	50.0
4	23	50.0
4	24	50.0
5	1	416.0
5	2	416.0
5	3	416.0
5	4	416.0
5	5	416.0
5	6	400.0
5	7	250.0
5	8	250.0
5	9	250.0
5	10	250.0
5	11	339.0
5	12	416.0
5	13	416.0
5	14	416.0
5	15	416.0
5	16	250.0
5	17	200.0
5	18	200.0
5	19	300.0
5	20	300.0
5	21	300.0
5	22	300.0
5	23	350.0
5	24	420.0
6	1	254.0
6	2	254.0
6	3	254.0
6	4	254.0
6	5	200.0
6	6	140.0
6	7	190.0
6	8	190.0
6	9	190.0
6	10	244.0
6	11	183.0
6	12	304.0
6	13	304.0
6	14	304.0
6	15	254.0
6	16	140.0
6	17	140.0
6	18	140.0
6	19	140.0
6	20	140.0
6	21	140.0
6	22	254.0
6	23	254.0
6	24	271.0
7	1	50.0
7	2	50.0
7	3	100.0
7	4	100.0
7	5	69.0
7	6	69.0
7	7	69.0
7	8	119.0
7	9	58.0
7	10	58.0
7	11	58.0
7	12	58.0
7	13	58.0
7	14	58.0
7	15	58.0
7	16	108.0
7	17	108.0
7	18	58.0
7	19	8.0
7	20	8.0
7	21	19.0
7	22	19.0
7	23	19.0
7	24	33.0
8	1	258.0
8	2	235.0
8	3	235.0
8	4	265.0
8	5	265.0
8	6	270.0
8	7	218.0
8	8	70.0
8	9	120.0
8	10	76.0
8	11	50.0
8	12	50.0
8	13	50.0
8	14	50.0
8	15	136.0
8	16	140.0
8	17	125.0
8	18	140.0
8	19	86.0
8	20	86.0
8	21	140.0
8	22	86.0
8	23	70.0
8	24	178.0
9	1	0.0
9	2	35.0
9	3	35.0
9	4	35.0
9	5	35.0
9	6	35.0
9	7	35.0
9	8	35.0
9	9	16.0
9	10	10.0
9	11	35.0
9	12	35.0
9	13	35.0
9	14	15.0
9	15	35.0
9	16	35.0
9	17	35.0
9	18	35.0
9	19	0.0
9	20	0.0
9	21	0.0
9	22	0.0
9	23	0.0
9	24	0.0
10	1	31.0
10	2	0.0
10	3	0.0
10	4	0.0
10	5	0.0
10	6	30.0
10	7	25.0
10	8	31.0
10	9	31.0
10	10	31.0
10	11	0.0
10	12	0.0
10	13	0.0
10	14	0.0
10	15	0.0
10	16	0.0
10	17	31.0
10	18	31.0
10	19	31.0
10	20	25.0
10	21	25.0
10	22	25.0
10	23	25.0
10	24	31.0
11	1	50.0
11	2	50.0
11	3	50.0
11	4	79.0
11	5	79.0
11	6	79.0
11	7	79.0
11	8	79.0
11	9	79.0
11	10	79.0
11	11	79.0
11	12	79.0
11	13	79.0
11	14	79.0
11	15	79.0
11	16	79.0
11	17	79.0
11	18	79.0
11	19	79.0
11	20	50.0
11	21	50.0
11	22	50.0
11	23	50.0
11	24	50.0
12	1	50.0
12	2	50.0
12	3	50.0
12	4	79.0
12	5	79.0
12	6	79.0
12	7	79.0
12	8	79.0
12	9	79.0
12	10	79.0
12	11	79.0
12	12	79.0
12	13	79.0
12	14	79.0
12	15	79.0
12	16	79.0
12	17	79.0
12	18	79.0
12	19	50.0
12	20	50.0
12	21	50.0
12	22	50.0
12	23	50.0
12	24	50.0
13	1	295.0
13	2	295.0
13	3	295.0
13	4	295.0
13	5	295.0
13	6	295.0
13	7	355.0
13	8	355.0
13	9	355.0
13	10	355.0
13	11	355.0
13	12	355.0
13	13	355.0
13	14	355.0
13	15	355.0
13	16	224.0
13	17	295.0
13	18	232.0
13	19	185.0
13	20	200.0
13	21	233.0
13	22	272.0
13	23	272.0
13	24	355.0
14	1	301.0
14	2	301.0
14	3	301.0
14	4	301.0
14	5	301.0
14	6	247.0
14	7	250.0
14	8	250.0
14	9	250.0
14	10	250.0
14	11	300.0
14	12	351.0
14	13	351.0
14	14	351.0
14	15	301.0
14	16	200.0
14	17	200.0
14	18	200.0
14	19	217.0
14	20	217.0
14	21	217.0
14	22	247.0
14	23	247.0
14	24	244.0
15	1	270.0
15	2	270.0
15	3	270.0
15	4	270.0
15	5	290.0
15	6	250.0
15	7	250.0
15	8	250.0
15	9	250.0
15	10	270.0
15	11	270.0
15	12	270.0
15	13	270.0
15	14	270.0
15	15	216.0
15	16	200.0
15	17	200.0
15	18	290.0
15	19	290.0
15	20	290.0
15	21	290.0
15	22	270.0
15	23	270.0
15	24	280.0
16	1	550.0
16	2	544.0
16	3	544.0
16	4	544.0
16	5	549.0
16	6	549.0
16	7	523.0
16	8	512.0
16	9	546.0
16	10	546.0
16	11	688.0
16	12	729.0
16	13	729.0
16	14	729.0
16	15	727.0
16	16	522.0
16	17	448.0
16	18	200.0
16	19	250.0
16	20	250.0
16	21	300.0
16	22	350.0
16	23	350.0
16	24	539.0
17	1	450.0
17	2	460.0
17	3	457.0
17	4	440.0
17	5	450.0
17	6	448.0
17	7	410.0
17	8	418.0
17	9	486.0
17	10	466.0
17	11	488.0
17	12	488.0
17	13	488.0
17	14	488.0
17	15	488.0
17	16	473.0
17	17	346.0
17	18	210.0
17	19	250.0
17	20	250.0
17	21	300.0
17	22	350.0
17	23	350.0
17	24	396.0
18	1	460.0
18	2	530.0
18	3	530.0
18	4	510.0
18	5	449.0
18	6	400.0
18	7	250.0
18	8	250.0
18	9	124.0
18	10	124.0
18	11	224.0
18	12	520.0
18	13	533.0
18	14	533.0
18	15	524.0
18	16	124.0
18	17	74.0
18	18	74.0
18	19	174.0
18	20	300.0
18	21	300.0
18	22	300.0
18	23	346.0
18	24	450.0
19	1	264.0
19	2	264.0
19	3	264.0
19	4	264.0
19	5	264.0
19	6	264.0
19	7	250.0
19	8	250.0
19	9	250.0
19	10	250.0
19	11	254.0
19	12	264.0
19	13	263.0
19	14	263.0
19	15	263.0
19	16	154.0
19	17	135.0
19	18	200.0
19	19	264.0
19	20	264.0
19	21	264.0
19	22	264.0
19	23	259.0
19	24	450.0
20	1	240.0
20	2	240.0
20	3	240.0
20	4	241.0
20	5	260.0
20	6	260.0
20	7	260.0
20	8	255.0
20	9	260.0
20	10	214.0
20	11	260.0
20	12	260.0
20	13	260.0
20	14	260.0
20	15	260.0
20	16	200.0
20	17	200.0
20	18	200.0
20	19	200.0
20	20	198.0
20	21	227.0
20	22	260.0
20	23	260.0
20	24	388.0
21	1	450.0
21	2	450.0
21	3	450.0
21	4	450.0
21	5	450.0
21	6	400.0
21	7	250.0
21	8	250.0
21	9	250.0
21	10	250.0
21	11	350.0
21	12	385.0
21	13	514.0
21	14	514.0
21	15	400.0
21	16	207.0
21	17	200.0
21	18	200.0
21	19	300.0
21	20	300.0
21	21	300.0
21	22	300.0
21	23	350.0
21	24	408.0
22	1	200.0
22	2	200.0
22	3	200.0
22	4	200.0
22	5	200.0
22	6	200.0
22	7	200.0
22	8	170.0
22	9	160.0
22	10	197.0
22	11	200.0
22	12	200.0
22	13	200.0
22	14	200.0
22	15	200.0
22	16	200.0
22	17	200.0
22	18	200.0
22	19	200.0
22	20	200.0
22	21	200.0
22	22	200.0
22	23	200.0
22	24	200.0
23	1	260.0
23	2	260.0
23	3	260.0
23	4	260.0
23	5	320.0
23	6	278.0
23	7	160.0
23	8	170.0
23	9	170.0
23	10	160.0
23	11	160.0
23	12	204.0
23	13	320.0
23	14	320.0
23	15	310.0
23	16	160.0
23	17	150.0
23	18	150.0
23	19	181.0
23	20	300.0
23	21	300.0
23	22	300.0
23	23	320.0
23	24	348.0
24	1	450.0
24	2	450.0
24	3	450.0
24	4	450.0
24	5	450.0
24	6	450.0
24	7	457.0
24	8	457.0
24	9	457.0
24	10	457.0
24	11	545.0
24	12	559.0
24	13	559.0
24	14	559.0
24	15	478.0
24	16	407.0
24	17	333.0
24	18	200.0
24	19	250.0
24	20	250.0
24	21	300.0
24	22	350.0
24	23	350.0
24	24	450.0
25	1	301.0
25	2	301.0
25	3	301.0
25	4	301.0
25	5	301.0
25	6	247.0
25	7	294.0
25	8	294.0
25	9	293.0
25	10	250.0
25	11	351.0
25	12	351.0
25	13	351.0
25	14	351.0
25	15	301.0
25	16	241.0
25	17	241.0
25	18	219.0
25	19	247.0
25	20	247.0
25	21	247.0
25	22	247.0
25	23	301.0
25	24	301.0
26	1	200.0
26	2	200.0
26	3	200.0
26	4	200.0
26	5	200.0
26	6	200.0
26	7	200.0
26	8	170.0
26	9	160.0
26	10	197.0
26	11	200.0
26	12	200.0
26	13	200.0
26	14	200.0
26	15	200.0
26	16	200.0
26	17	200.0
26	18	200.0
26	19	200.0
26	20	200.0
26	21	200.0
26	22	200.0
26	23	200.0
26	24	200.0
27	1	450.0
27	2	504.0
27	3	504.0
27	4	500.0
27	5	450.0
27	6	400.0
27	7	250.0
27	8	250.0
27	9	250.0
27	10	250.0
27	11	250.0
27	12	550.0
27	13	610.0
27	14	669.0
27	15	498.0
27	16	200.0
27	17	200.0
27	18	200.0
27	19	300.0
27	20	300.0
27	21	300.0
27	22	300.0
27	23	350.0
27	24	450.0
28	1	260.0
28	2	260.0
28	3	260.0
28	4	260.0
28	5	260.0
28	6	260.0
28	7	250.0
28	8	250.0
28	9	250.0
28	10	250.0
28	11	300.0
28	12	316.0
28	13	320.0
28	14	320.0
28	15	260.0
28	16	200.0
28	17	200.0
28	18	200.0
28	19	260.0
28	20	260.0
28	21	260.0
28	22	260.0
28	23	260.0
28	24	300.0
29	1	314.0
29	2	314.0
29	3	314.0
29	4	314.0
29	5	314.0
29	6	314.0
29	7	394.0
29	8	324.0
29	9	259.0
29	10	179.0
29	11	303.0
29	12	341.0
29	13	394.0
29	14	394.0
29	15	303.0
29	16	134.0
29	17	204.0
29	18	290.0
29	19	250.0
29	20	250.0
29	21	300.0
29	22	301.0
29	23	314.0
29	24	234.0
30	1	370.0
30	2	370.0
30	3	370.0
30	4	370.0
30	5	370.0
30	6	370.0
30	7	250.0
30	8	250.0
30	9	250.0
30	10	250.0
30	11	300.0
30	12	350.0
30	13	370.0
30	14	370.0
30	15	370.0
30	16	200.0
30	17	200.0
30	18	200.0
30	19	300.0
30	20	300.0
30	21	300.0
30	22	300.0
30	23	284.0
30	24	370.0
31	1	403.0
31	2	403.0
31	3	403.0
31	4	403.0
31	5	403.0
31	6	345.0
31	7	300.0
31	8	300.0
31	9	345.0
31	10	345.0
31	11	403.0
31	12	403.0
31	13	403.0
31	14	403.0
31	15	403.0
31	16	345.0
31	17	237.0
31	18	250.0
31	19	250.0
31	20	250.0
31	21	300.0
31	22	345.0
31	23	345.0
31	24	339.0
32	1	450.0
32	2	504.0
32	3	504.0
32	4	500.0
32	5	450.0
32	6	400.0
32	7	250.0
32	8	250.0
32	9	250.0
32	10	250.0
32	11	250.0
32	12	550.0
32	13	610.0
32	14	669.0
32	15	498.0
32	16	200.0
32	17	200.0
32	18	200.0
32	19	300.0
32	20	300.0
32	21	300.0
32	22	300.0
32	23	350.0
32	24	450.0
33	1	420.0
33	2	439.0
33	3	439.0
33	4	429.0
33	5	439.0
33	6	439.0
33	7	456.0
33	8	479.0
33	9	374.0
33	10	374.0
33	11	374.0
33	12	409.0
33	13	404.0
33	14	404.0
33	15	404.0
33	16	294.0
33	17	399.0
33	18	300.0
33	19	250.0
33	20	250.0
33	21	300.0
33	22	350.0
33	23	350.0
33	24	413.0
34	1	430.0
34	2	433.0
34	3	433.0
34	4	433.0
34	5	450.0
34	6	388.0
34	7	250.0
34	8	187.0
34	9	177.0
34	10	173.0
34	11	177.0
34	12	381.0
34	13	397.0
34	14	397.0
34	15	397.0
34	16	177.0
34	17	190.0
34	18	200.0
34	19	287.0
34	20	300.0
34	21	284.0
34	22	282.0
34	23	350.0
34	24	279.0
35	1	320.0
35	2	320.0
35	3	320.0
35	4	320.0
35	5	320.0
35	6	320.0
35	7	320.0
35	8	320.0
35	9	320.0
35	10	250.0
35	11	320.0
35	12	320.0
35	13	320.0
35	14	320.0
35	15	320.0
35	16	275.0
35	17	215.0
35	18	265.0
35	19	250.0
35	20	250.0
35	21	300.0
35	22	320.0
35	23	320.0
35	24	220.0
36	1	146.0
36	2	146.0
36	3	146.0
36	4	146.0
36	5	146.0
36	6	146.0
36	7	146.0
36	8	146.0
36	9	146.0
36	10	146.0
36	11	146.0
36	12	146.0
36	13	146.0
36	14	146.0
36	15	146.0
36	16	146.0
36	17	146.0
36	18	146.0
36	19	146.0
36	20	146.0
36	21	146.0
36	22	146.0
36	23	146.0
36	24	96.0
37	1	271.0
37	2	271.0
37	3	271.0
37	4	271.0
37	5	271.0
37	6	157.0
37	7	207.0
37	8	207.0
37	9	207.0
37	10	207.0
37	11	183.0
37	12	261.0
37	13	261.0
37	14	321.0
37	15	271.0
37	16	200.0
37	17	200.0
37	18	157.0
37	19	157.0
37	20	211.0
37	21	271.0
37	22	271.0
