Node	Time	Res_CapacityUpVolume
1	1	70.0
1	2	70.0
1	3	70.0
1	4	70.0
1	5	95.0
1	6	95.0
1	7	95.0
1	8	95.0
1	9	95.0
1	10	95.0
1	11	95.0
1	12	95.0
1	13	95.0
1	14	80.0
1	15	80.0
1	16	80.0
1	17	80.0
1	18	95.0
1	19	95.0
1	20	95.0
1	21	105.0
1	22	105.0
1	23	105.0
1	24	251.0
2	1	10.0
2	2	10.0
2	3	10.0
2	4	10.0
2	5	10.0
2	6	10.0
2	7	50.0
2	8	202.0
2	9	259.0
2	10	219.0
2	11	219.0
2	12	219.0
2	13	219.0
2	14	219.0
2	15	219.0
2	16	219.0
2	17	219.0
2	18	219.0
2	19	219.0
2	20	259.0
2	21	259.0
2	22	219.0
2	23	219.0
2	24	219.0
3	1	70.0
3	2	70.0
3	3	70.0
3	4	70.0
3	5	70.0
3	6	70.0
3	7	90.0
3	8	90.0
3	9	90.0
3	10	90.0
3	11	90.0
3	12	85.0
3	13	85.0
3	14	85.0
3	15	90.0
3	16	90.0
3	17	90.0
3	18	90.0
3	19	90.0
3	20	90.0
3	21	70.0
3	22	70.0
3	23	70.0
3	24	105.0
4	1	300.0
4	2	300.0
4	3	300.0
4	4	300.0
4	5	310.0
4	6	260.0
4	7	260.0
4	8	260.0
4	9	260.0
4	10	260.0
4	11	260.0
4	12	201.0
4	13	245.0
4	14	240.0
4	15	240.0
4	16	141.0
4	17	260.0
4	18	260.0
4	19	260.0
4	20	260.0
4	21	260.0
4	22	260.0
4	23	240.0
4	24	90.0
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	25.0
5	6	25.0
5	7	85.0
5	8	85.0
5	9	85.0
5	10	25.0
5	11	25.0
5	12	25.0
5	13	0.0
5	14	0.0
5	15	0.0
5	16	0.0
5	17	25.0
5	18	85.0
5	19	85.0
5	20	85.0
5	21	85.0
5	22	85.0
5	23	25.0
5	24	25.0
6	1	143.0
6	2	143.0
6	3	143.0
6	4	143.0
6	5	148.0
6	6	148.0
6	7	148.0
6	8	148.0
6	9	148.0
6	10	148.0
6	11	148.0
6	12	133.0
6	13	133.0
6	14	128.0
6	15	133.0
6	16	148.0
6	17	148.0
6	18	148.0
6	19	148.0
6	20	148.0
6	21	148.0
6	22	148.0
6	23	143.0
6	24	143.0
7	1	183.0
7	2	183.0
7	3	183.0
7	4	183.0
7	5	183.0
7	6	198.0
7	7	198.0
7	8	198.0
7	9	198.0
7	10	198.0
7	11	198.0
7	12	198.0
7	13	198.0
7	14	183.0
7	15	183.0
7	16	183.0
7	17	183.0
7	18	198.0
7	19	198.0
7	20	198.0
7	21	198.0
7	22	198.0
7	23	183.0
7	24	183.0
8	1	94.0
8	2	94.0
8	3	94.0
8	4	94.0
8	5	94.0
8	6	94.0
8	7	99.0
8	8	109.0
8	9	99.0
8	10	99.0
8	11	89.0
8	12	89.0
8	13	89.0
8	14	89.0
8	15	89.0
8	16	89.0
8	17	99.0
8	18	109.0
8	19	109.0
8	20	109.0
8	21	99.0
8	22	94.0
8	23	94.0
8	24	94.0
9	1	0.0
9	2	0.0
9	3	0.0
9	4	0.0
9	5	0.0
9	6	0.0
9	7	0.0
9	8	0.0
9	9	0.0
9	10	0.0
9	11	0.0
9	12	0.0
9	13	0.0
9	14	0.0
9	15	0.0
9	16	0.0
9	17	0.0
9	18	25.0
9	19	182.0
9	20	103.0
9	21	103.0
9	22	103.0
9	23	78.0
9	24	0.0
10	1	0.0
10	2	0.0
10	3	0.0
10	4	0.0
10	5	60.0
10	6	131.0
10	7	190.0
10	8	190.0
10	9	190.0
10	10	165.0
10	11	120.0
10	12	120.0
10	13	155.0
10	14	180.0
10	15	180.0
10	16	180.0
10	17	180.0
10	18	180.0
10	19	149.0
10	20	149.0
10	21	149.0
10	22	35.0
10	23	149.0
10	24	167.0
11	1	0.0
11	2	0.0
11	3	0.0
11	4	0.0
11	5	0.0
11	6	0.0
11	7	0.0
11	8	0.0
11	9	0.0
11	10	0.0
11	11	0.0
11	12	0.0
11	13	0.0
11	14	0.0
11	15	0.0
11	16	0.0
