Node	Time	Spot_Price
3	1	50.27
3	2	49.96
3	3	49.56
3	4	49.36
3	5	49.82
3	6	55.36
3	7	85.93
3	8	77.31
3	9	65.78
3	10	50.48
3	11	45.07
3	12	37.53
3	13	30.04
3	14	26.93
3	15	29.76
3	16	39.8
3	17	48.37
3	18	50.6
3	19	48.83
3	20	49.33
3	21	48.22
3	22	45.48
3	23	37.87
3	24	21.21
4	1	27.48
4	2	17.02
4	3	9.11
4	4	4.09
4	5	1.87
4	6	4.73
4	7	2.22
4	8	-0.08
4	9	-2.01
4	10	-7.6
4	11	-15.0
4	12	-24.77
4	13	-32.69
4	14	-37.13
4	15	-28.68
4	16	-4.99
4	17	15.91
4	18	26.57
4	19	35.97
4	20	38.14
4	21	39.58
4	22	40.0
4	23	39.09
4	24	37.15
5	1	29.75
5	2	29.2
5	3	28.93
5	4	28.83
5	5	29.16
5	6	30.96
5	7	61.98
5	8	61.04
5	9	53.05
5	10	40.87
5	11	40.38
5	12	34.14
5	13	32.14
5	14	33.28
5	15	35.48
5	16	42.65
5	17	52.9
5	18	71.0
5	19	76.02
5	20	61.21
5	21	58.82
5	22	57.53
5	23	41.14
5	24	34.93
6	1	4.94
6	2	4.58
6	3	4.3
6	4	4.29
6	5	4.6
6	6	4.86
6	7	5.1
6	8	6.34
6	9	7.93
6	10	8.14
6	11	6.0
6	12	2.94
6	13	0.42
6	14	0.83
6	15	2.97
6	16	6.51
6	17	11.47
6	18	11.48
6	19	11.29
6	20	10.47
6	21	8.88
6	22	7.94
6	23	7.04
6	24	9.27
7	1	21.32
7	2	20.76
7	3	20.25
7	4	20.01
7	5	19.9
7	6	20.97
7	7	21.68
7	8	22.14
7	9	4.99
7	10	0.0
7	11	-2.43
7	12	-15.04
7	13	-29.8
7	14	-48.69
7	15	-33.53
7	16	-13.28
7	17	1.0
7	18	21.33
7	19	21.95
7	20	21.91
7	21	21.88
7	22	22.38
7	23	21.81
7	24	21.26
8	1	80.55
8	2	79.74
8	3	79.99
8	4	78.26
8	5	77.59
8	6	81.55
8	7	123.0
8	8	193.42
8	9	275.59
8	10	270.56
8	11	249.93
8	12	200.55
8	13	170.04
8	14	141.97
8	15	143.58
8	16	156.16
8	17	170.08
8	18	170.81
8	19	133.08
8	20	111.77
8	21	95.49
8	22	86.21
8	23	82.04
8	24	77.69
9	1	54.72
9	2	54.97
9	3	54.22
9	4	54.75
9	5	54.79
9	6	55.06
9	7	54.93
9	8	54.25
9	9	51.4
9	10	49.7
9	11	48.15
9	12	47.28
9	13	45.98
9	14	48.91
9	15	51.65
9	16	54.32
9	17	57.46
9	18	73.18
9	19	91.38
9	20	85.56
9	21	61.02
9	22	57.73
9	23	55.4
9	24	54.32
10	1	63.52
