Node	Time	ActivationDownPrice
3	1	3.0
3	2	-0.263
3	3	5.49
3	4	17.9
3	5	36.22
3	6	49.0
3	7	53.29
3	8	47.0
3	9	37.5
3	10	37.5
3	11	33.51
3	12	35.0
3	13	35.0
3	14	43.21
3	15	44.5
3	16	43.265
3	17	48.0
3	18	48.5
3	19	48.265
3	20	49.605
3	21	51.89
3	22	49.5
3	23	52.35
3	24	47.5
4	1	49.5
4	2	50.0
4	3	46.96
4	4	36.0
4	5	46.5
4	6	47.5
4	7	115.51
4	8	106.71
4	9	89.55
4	10	82.75
4	11	77.02
4	12	63.95
4	13	50.5
4	14	50.5
4	15	57.98
4	16	61.82
4	17	72.69
4	18	79.91
4	19	98.43
4	20	83.95
4	21	85.0
4	22	72.45
4	23	70.94
4	24	51.55
5	1	-2.0
5	2	-2.0
5	3	-2.0
5	4	-2.0
5	5	-7.0
5	6	-4.0
5	7	-2.0
5	8	8.04
5	9	6.71
5	10	9.82
5	11	3.0
5	12	-4.0
5	13	-3.0
5	14	-3.0
5	15	-3.0
5	16	0.0
5	17	1.5
5	18	19.92
5	19	21.95
5	20	10.0
5	21	8.04
5	22	-2.5
5	23	-1.0
5	24	3.78
6	1	70.0
6	2	70.0
6	3	69.0
6	4	69.16
6	5	68.47
6	6	69.0
6	7	77.6
6	8	71.99
6	9	85.47
6	10	66.0
6	11	71.0
6	12	69.86
6	13	68.6
6	14	66.81
6	15	68.04
6	16	69.68
6	17	77.4
6	18	69.0
6	19	69.0
6	20	78.4
6	21	74.97
6	22	68.0
6	23	68.0
6	24	65.0
7	1	23.21
7	2	22.98
7	3	22.85
7	4	22.74
7	5	22.75
7	6	24.18
7	7	24.34
7	8	25.38
7	9	25.18
7	10	25.25
7	11	24.98
7	12	24.57
7	13	24.66
7	14	24.22
7	15	24.39
7	16	21.95
7	17	18.0
7	18	18.0
7	19	21.0
7	20	23.66
7	21	23.16
7	22	23.76
7	23	23.36
7	24	22.11
8	1	40.5
8	2	40.0
8	3	35.0
8	4	31.0
8	5	31.0
8	6	31.0
8	7	35.0
8	8	40.0
8	9	42.0
8	10	44.5
8	11	49.0
8	12	46.0
8	13	44.5
8	14	44.5
8	15	51.62
8	16	50.64
8	17	52.82
8	18	55.74
8	19	54.85
8	20	52.68
8	21	49.48
8	22	49.48
8	23	44.36
8	24	30.0
9	1	37.24
9	2	37.15
9	3	37.04
9	4	37.09
9	5	37.49
9	6	37.69
9	7	39.77
9	8	39.95
9	9	39.94
9	10	37.03
9	11	34.28
9	12	26.68
9	13	18.16
9	14	30.62
9	15	35.31
9	16	37.63
9	17	39.5
9	18	40.71
9	19	40.08
9	20	34.0
9	21	28.0
9	22	28.0
9	23	26.18
9	24	0.0
10	1	53.79
10	2	48.98
10	3	27.45
10	4	24.48
10	5	24.01
10	6	21.23
10	7	22.62
10	8	25.04
10	9	26.24
10	10	32.21
10	11	47.71
10	12	52.51
10	13	56.57
10	14	59.82
10	15	62.06
10	16	62.52
10	17	63.19
10	18	64.99
10	19	63.58
10	20	63.1
10	21	62.15
10	22	58.27
10	23	52.58
10	24	44.03
11	1	-0.01
11	2	-0.07
11	3	-0.37
11	4	-0.51
11	5	-0.09
11	6	-0.01
11	7	1.77
11	8	18.5
11	9	10.15
11	10	5.06
11	11	6.4
11	12	6.57
11	13	7.31
11	14	8.16
11	15	13.06
11	16	25.44
11	17	31.21
11	18	34.97
11	19	40.2
11	20	39.51
11	21	38.43
11	22	38.4
11	23	36.81
11	24	38.4
12	1	29.98
12	2	19.46
12	3	16.99
12	4	16.99
12	5	5.0
12	6	5.5
12	7	5.5
12	8	29.5
12	9	29.5
12	10	29.5
12	11	20.0
12	12	17.17
12	13	17.0
12	14	20.0
12	15	44.27
12	16	49.14
12	17	54.16
12	18	56.02
12	19	57.71
12	20	58.4
12	21	58.63
12	22	58.05
12	23	57.78
12	24	49.5
13	1	35.5
13	2	32.0
13	3	30.0
13	4	27.0
13	5	22.79
13	6	31.0
13	7	44.4
13	8	49.21
13	9	38.0
13	10	37.5
13	11	33.0
13	12	21.0
13	13	21.0
13	14	0.0
13	15	3.71
13	16	5.0
13	17	9.0
13	18	33.0
13	19	33.0
13	20	43.0
13	21	40.0
13	22	34.0
13	23	30.0
13	24	33.23
14	1	-2.0
14	2	-2.0
14	3	-2.0
14	4	-2.0
14	5	-7.0
14	6	-4.0
14	7	-2.0
14	8	8.04
14	9	6.71
14	10	9.82
14	11	3.0
14	12	-4.0
14	13	-3.0
14	14	-3.0
14	15	-3.0
