Node	Time	CapacityDownPrice
1	1	3.0
1	2	3.0
1	3	3.0
1	4	3.0
1	5	3.0
1	6	3.0
1	7	2.0
1	8	2.0
1	9	2.0
1	10	2.0
1	11	2.0
1	12	3.0
1	13	8.5
1	14	10.0
1	15	3.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	2.0
1	24	3.0
2	1	8.0
2	2	8.0
2	3	8.0
2	4	8.0
2	5	8.0
2	6	8.0
2	7	3.0
2	8	3.0
2	9	3.2
2	10	3.2
2	11	9.0
2	12	15.98
2	13	16.62
2	14	16.0
2	15	13.6
2	16	4.8
2	17	3.2
2	18	3.0
2	19	3.0
2	20	3.0
2	21	7.0
2	22	8.0
2	23	8.0
2	24	16.0
3	1	2.0
3	2	2.0
3	3	2.0
3	4	2.0
3	5	4.0
3	6	4.0
3	7	3.5
3	8	8.5
3	9	7.5
3	10	25.0
3	11	25.0
3	12	34.5
3	13	39.5
3	14	41.0
3	15	44.5
3	16	30.0
3	17	11.0
3	18	6.5
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	3.0
3	24	2.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	3.0
4	6	2.0
4	7	2.0
4	8	2.0
4	9	2.0
4	10	3.0
4	11	2.0
4	12	2.0
4	13	3.0
4	14	3.0
4	15	3.0
4	16	4.0
4	17	2.0
4	18	2.0
4	19	2.0
4	20	2.0
4	21	2.0
4	22	2.0
4	23	2.0
4	24	2.0
5	1	5.0
5	2	7.0
5	3	7.0
5	4	6.0
5	5	4.0
5	6	2.0
5	7	2.0
5	8	2.0
5	9	2.0
5	10	2.0
5	11	2.0
5	12	14.0
5	13	19.0
5	14	24.0
5	15	13.0
5	16	2.0
5	17	2.0
5	18	2.0
5	19	2.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.0
5	24	4.2
6	1	8.0
6	2	9.0
6	3	9.0
6	4	9.0
6	5	8.0
6	6	3.0
6	7	2.0
6	8	2.0
6	9	2.0
6	10	2.0
6	11	2.0
6	12	3.0
6	13	14.0
6	14	26.0
6	15	12.0
6	16	2.0
6	17	3.0
6	18	2.0
6	19	3.0
6	20	3.0
6	21	3.0
6	22	8.0
6	23	8.0
6	24	2.0
7	1	2.0
7	2	2.0
7	3	2.0
7	4	2.0
7	5	2.0
7	6	2.0
7	7	2.0
7	8	2.0
7	9	2.0
7	10	2.0
7	11	2.0
7	12	2.0
7	13	2.0
7	14	2.0
7	15	2.0
7	16	2.0
7	17	2.0
7	18	2.0
7	19	2.0
7	20	2.0
7	21	2.0
7	22	2.0
7	23	2.0
7	24	2.0
8	1	14.0
8	2	13.0
8	3	15.0
8	4	20.0
8	5	22.0
8	6	22.0
8	7	17.0
8	8	10.0
8	9	8.0
8	10	9.0
8	11	5.0
8	12	5.0
8	13	5.0
8	14	5.0
8	15	14.0
8	16	21.0
8	17	22.0
8	18	23.0
8	19	16.0
8	20	18.0
8	21	26.0
8	22	18.0
8	23	21.0
8	24	35.0
9	1	2.1
9	2	2.0
9	3	2.1
9	4	2.1
9	5	3.3
9	6	3.3
9	7	8.0
9	8	9.0
9	9	18.0
9	10	18.0
9	11	18.0
9	12	18.0
9	13	10.0
9	14	10.0
9	15	3.9
9	16	8.4
9	17	5.1
9	18	3.3
9	19	2.1
9	20	2.1
9	21	2.1
9	22	2.1
9	23	3.3
9	24	2.1
10	1	2.0
10	2	2.0
10	3	2.0
10	4	4.5
10	5	4.5
10	6	3.0
10	7	3.0
10	8	4.0
10	9	5.5
10	10	2.5
10	11	3.5
10	12	4.0
10	13	4.0
10	14	4.0
10	15	3.5
10	16	2.5
10	17	3.0
10	18	3.0
10	19	2.5
10	20	2.0
10	21	2.0
10	22	2.0
10	23	2.0
10	24	2.0
11	1	2.0
11	2	2.0
11	3	2.0
11	4	2.0
11	5	2.0
11	6	4.0
11	7	4.0
11	8	4.0
11	9	4.0
11	10	4.0
11	11	4.0
11	12	4.0
11	13	4.0
11	14	4.0
11	15	4.0
11	16	4.0
11	17	4.0
11	18	4.0
11	19	4.0
11	20	2.0
11	21	2.0
11	22	2.0
11	23	2.0
11	24	2.0
12	1	2.0
12	2	2.0
12	3	2.0
12	4	6.0
12	5	6.0
12	6	6.0
12	7	6.0
12	8	6.0
12	9	6.0
12	10	6.0
12	11	6.0
12	12	6.0
12	13	14.0
12	14	14.0
12	15	14.0
12	16	6.0
12	17	6.0
12	18	6.0
12	19	3.0
12	20	2.0
12	21	2.0
12	22	2.0
12	23	2.0
12	24	2.0
13	1	20.0
13	2	28.0
13	3	28.0
13	4	27.0
13	5	29.0
13	6	23.0
13	7	15.0
13	8	16.0
13	9	18.0
13	10	21.0
13	11	30.0
13	12	31.0
13	13	36.0
13	14	36.24
13	15	30.0
13	16	19.0
13	17	9.88
13	18	5.0
13	19	2.0
13	20	2.0
13	21	2.0
13	22	5.0
13	23	5.0
13	24	5.4
14	1	3.0
14	2	3.0
14	3	3.0
14	4	3.0
14	5	2.5
14	6	2.5
14	7	2.0
14	8	2.0
14	9	2.0
14	10	2.0
14	11	2.0
14	12	3.5
14	13	5.0
14	14	5.0
14	15	4.5
14	16	2.0
14	17	2.0
14	18	2.0
14	19	2.5
14	20	2.5
14	21	2.5
14	22	2.5
14	23	2.5
14	24	9.0
15	1	10.0
15	2	13.0
15	3	13.0
15	4	11.5
15	5	10.0
15	6	6.5
15	7	2.0
15	8	2.0
15	9	2.0
15	10	2.0
15	11	5.0
15	12	15.5
15	13	20.5
15	14	31.31
15	15	13.5
15	16	2.0
15	17	2.0
15	18	2.0
15	19	2.0
15	20	2.0
15	21	2.0
15	22	2.0
15	23	5.5
15	24	4.9
16	1	3.0
16	2	3.0
16	3	3.0
16	4	3.0
16	5	3.0
16	6	3.0
16	7	2.0
16	8	2.0
16	9	3.0
16	10	3.0
16	11	4.0
16	12	5.0
16	13	6.5
16	14	6.5
16	15	4.5
16	16	2.5
16	17	2.0
16	18	2.0
16	19	2.0
16	20	2.0
16	21	2.0
16	22	2.0
16	23	2.0
16	24	3.0
17	1	3.0
17	2	4.0
17	3	4.0
17	4	5.0
17	5	5.0
17	6	3.0
17	7	2.0
17	8	2.0
17	9	2.0
17	10	2.0
17	11	7.0
17	12	15.0
17	13	20.0
17	14	19.0
17	15	12.0
17	16	2.0
17	17	2.0
17	18	2.0
17	19	2.0
17	20	2.0
17	21	2.0
17	22	2.0
17	23	2.0
17	24	2.0
18	1	2.0
18	2	2.0
18	3	2.0
18	4	2.0
18	5	2.0
18	6	2.0
18	7	2.0
18	8	2.0
18	9	2.0
18	10	2.0
18	11	2.0
18	12	2.0
18	13	4.2
18	14	2.8
18	15	2.0
18	16	2.0
18	17	2.0
18	18	2.0
18	19	2.0
18	20	2.0
18	21	2.0
18	22	2.0
18	23	2.0
18	24	2.0
19	1	6.0
19	2	6.0
19	3	6.0
19	4	6.0
19	5	6.3
19	6	5.0
19	7	2.0
19	8	2.0
19	9	2.0
19	10	2.0
19	11	2.7
19	12	6.3
19	13	10.0
19	14	13.0
19	15	12.0
19	16	2.7
19	17	2.0
19	18	2.0
19	19	2.7
19	20	2.7
19	21	2.7
19	22	2.7
19	23	3.0
19	24	2.0
20	1	13.0
20	2	14.0
20	3	14.0
20	4	13.0
20	5	13.0
20	6	12.0
20	7	14.0
20	8	10.0
20	9	9.0
20	10	15.0
20	11	30.5
20	12	35.5
20	13	44.0
20	14	48.5
20	15	43.0
20	16	14.0
20	17	8.0
20	18	4.0
20	19	2.0
20	20	2.0
20	21	9.0
20	22	9.0
20	23	12.0
20	24	22.0
21	1	6.0
21	2	6.0
21	3	6.0
21	4	6.0
21	5	6.0
21	6	5.0
21	7	2.0
21	8	2.0
21	9	2.0
21	10	2.0
21	11	2.0
21	12	2.0
21	13	4.0
21	14	5.0
21	15	5.0
21	16	2.0
21	17	2.0
21	18	2.0
21	19	2.0
21	20	2.0
21	21	2.0
21	22	2.0
21	23	2.0
21	24	2.0
22	1	10.5
22	2	13.0
22	3	13.0
22	4	12.0
22	5	13.0
22	6	14.0
22	7	12.0
22	8	23.0
22	9	27.72
22	10	37.0
22	11	65.5
22	12	71.0
22	13	87.5
22	14	87.5
22	15	67.0
22	16	27.0
22	17	9.5
22	18	5.5
22	19	2.5
22	20	2.5
22	21	3.5
22	22	3.5
22	23	3.5
22	24	3.5
23	1	10.0
23	2	10.0
23	3	11.0
