Node	Time	ActivationUpPrice
3	1	57.97
3	2	60.0
3	3	62.0
3	4	60.0
3	5	60.88
3	6	61.93
3	7	61.81
3	8	60.7
3	9	58.16
3	10	52.85
3	11	40.65
3	12	34.47
3	13	29.8
3	14	28.76
3	15	42.11
3	16	51.4
3	17	56.13
3	18	63.0
3	19	68.0
3	20	73.0
3	21	74.0
3	22	73.0
3	23	69.5
3	24	68.0
4	1	17.79
4	2	6.65
4	3	5.49
4	4	29.0
4	5	36.22
4	6	54.0
4	7	53.29
4	8	59.02
4	9	56.36
4	10	52.05
4	11	46.15
4	12	42.96
4	13	42.37
4	14	57.0
4	15	57.0
4	16	51.67
4	17	55.0
4	18	57.83
4	19	57.1
4	20	56.78
4	21	56.72
4	22	54.24
4	23	52.35
4	24	57.36
5	1	18.69
5	2	18.44
5	3	18.34
5	4	18.77
5	5	19.19
5	6	40.0
5	7	45.0
5	8	45.0
5	9	45.5
5	10	40.0
5	11	27.0
5	12	14.56
5	13	14.09
5	14	13.89
5	15	14.56
5	16	19.17
5	17	19.67
5	18	30.0
5	19	30.0
5	20	37.0
5	21	39.0
5	22	26.9
5	23	26.0
5	24	26.05
6	1	15.24
6	2	14.45
6	3	13.91
6	4	14.61
6	5	15.24
6	6	20.91
6	7	42.98
6	8	49.99
6	9	39.86
6	10	36.63
6	11	18.17
6	12	4.32
6	13	3.24
6	14	3.03
6	15	3.96
6	16	12.78
6	17	26.79
6	18	42.73
6	19	29.89
6	20	28.88
6	21	28.19
6	22	26.84
6	23	24.74
6	24	14.3
7	1	62.44
7	2	62.69
7	3	63.03
7	4	63.81
7	5	63.03
7	6	67.9
7	7	150.34
7	8	127.13
7	9	97.89
7	10	87.02
7	11	74.58
7	12	64.15
7	13	64.71
7	14	62.63
7	15	61.49
7	16	63.15
7	17	64.97
7	18	66.47
7	19	77.04
7	20	74.98
7	21	69.05
7	22	63.98
7	23	61.09
7	24	61.23
8	1	31.47
8	2	28.62
8	3	25.51
8	4	23.07
8	5	21.9
8	6	23.12
8	7	27.76
8	8	31.76
8	9	36.29
8	10	32.72
8	11	32.21
8	12	32.02
8	13	35.5
8	14	30.45
8	15	30.45
8	16	30.98
8	17	29.21
8	18	29.91
8	19	29.09
8	20	26.51
8	21	23.72
8	22	23.73
8	23	23.01
8	24	20.33
9	1	57.18
9	2	56.96
9	3	56.84
9	4	56.85
9	5	56.92
9	6	57.12
9	7	56.98
9	8	56.21
9	9	53.84
9	10	62.0
9	11	62.0
9	12	59.0
9	13	47.5
9	14	47.5
9	15	47.5
9	16	52.7
9	17	55.11
9	18	57.62
9	19	61.0
9	20	65.0
9	21	65.0
9	22	59.0
9	23	55.31
9	24	53.18
10	1	53.97
10	2	53.52
10	3	53.48
10	4	53.43
10	5	53.49
10	6	53.92
10	7	53.95
10	8	54.61
10	9	54.69
10	10	61.0
10	11	59.0
10	12	55.0
10	13	52.0
10	14	50.0
10	15	46.28
10	16	49.14
10	17	51.7
10	18	56.58
10	19	72.83
10	20	58.98
10	21	56.03
10	22	54.99
10	23	53.22
10	24	51.85
11	1	58.94
11	2	57.98
11	3	57.66
11	4	58.0
11	5	58.0
11	6	58.0
11	7	58.0
11	8	59.0
11	9	57.73
11	10	56.28
11	11	54.03
11	12	49.91
11	13	56.0
11	14	59.0
11	15	51.0
11	16	52.0
11	17	58.14
11	18	55.0
11	19	55.13
11	20	56.92
11	21	54.84
11	22	51.52
11	23	45.0
11	24	45.0
12	1	29.98
12	2	19.46
12	3	16.99
12	4	16.99
12	5	16.99
12	6	17.0
12	7	26.21
12	8	42.25
12	9	42.59
12	10	44.0
12	11	36.65
12	12	19.43
12	13	17.0
12	14	20.27
12	15	46.0
12	16	49.14
12	17	57.0
12	18	61.0
12	19	62.0
12	20	63.0
12	21	63.0
12	22	58.05
12	23	57.78
12	24	57.39
13	1	20.0
13	2	19.2
13	3	-0.48
13	4	-0.06
13	5	6.7
13	6	6.7
13	7	6.7
13	8	-0.61
13	9	-6.47
13	10	-9.98
13	11	-12.04
13	12	3.35
13	13	3.35
13	14	3.35
13	15	1.0
13	16	17.92
13	17	29.0
13	18	34.9
13	19	36.33
13	20	36.29
13	21	36.4
13	22	36.44
13	23	36.35
13	24	36.18
14	1	0.34
14	2	0.04
14	3	0.04
14	4	0.11
14	5	0.43
14	6	1.83
14	7	2.98
14	8	6.1
14	9	6.2
14	10	6.03
14	11	5.05
14	12	4.99
14	13	7.0
14	14	2.6
14	15	2.98
14	16	3.76
14	17	10.0
14	18	10.0
14	19	8.0
14	20	8.0
14	21	4.5
14	22	1.0
14	23	0.42
14	24	7.85
15	1	32.02
15	2	32.02
15	3	32.01
15	4	32.02
15	5	32.24
15	6	32.46
15	7	38.5
15	8	42.0
15	9	37.5
15	10	33.03
15	11	32.51
15	12	32.24
15	13	32.02
15	14	32.02
15	15	43.5
15	16	43.0
15	17	34.18
15	18	33.34
15	19	44.0
15	20	45.0
15	21	55.0
15	22	34.18
15	23	33.63
15	24	32.22
16	1	27.77
16	2	24.5
16	3	19.39
16	4	19.63
16	5	19.79
16	6	20.46
16	7	20.97
16	8	21.88
16	9	22.48
16	10	21.99
16	11	21.55
16	12	20.99
16	13	17.8
16	14	17.92
16	15	20.24
16	16	20.63
16	17	20.98
16	18	21.79
16	19	22.54
16	20	22.23
16	21	21.77
16	22	21.63
16	23	25.63
16	24	25.0
17	1	15.58
17	2	15.54
17	3	15.48
17	4	15.49
17	5	15.65
17	6	15.41
17	7	15.83
17	8	16.33
17	9	16.78
17	10	16.96
17	11	14.67
17	12	17.0
17	13	19.0
17	14	19.0
17	15	19.0
17	16	17.2
17	17	17.64
17	18	17.83
17	19	18.65
17	20	18.21
17	21	17.28
17	22	16.71
17	23	16.16
17	24	15.86
18	1	35.05
18	2	35.08
18	3	35.12
18	4	35.51
18	5	38.68
18	6	47.0
18	7	49.0
18	8	92.99
18	9	75.38
18	10	59.97
18	11	45.0
18	12	49.0
18	13	40.0
18	14	45.0
18	15	46.37
18	16	46.49
18	17	39.02
18	18	39.66
18	19	44.46
18	20	39.18
18	21	37.24
18	22	35.84
18	23	35.75
18	24	35.96
19	1	36.93
19	2	36.72
19	3	36.4
19	4	36.69
19	5	37.5
19	6	53.3
19	7	97.15
19	8	84.94
19	9	56.87
19	10	42.07
19	11	32.96
19	12	29.49
19	13	21.67
19	14	25.04
19	15	27.14
19	16	31.19
19	17	41.0
19	18	44.54
19	19	53.35
19	20	53.35
19	21	53.37
19	22	51.9
19	23	47.98
19	24	42.49
20	1	17.15
20	2	16.18
20	3	18.33
20	4	20.47
20	5	22.9
20	6	25.22
20	7	35.08
20	8	39.27
20	9	38.09
20	10	37.84
20	11	38.09
20	12	25.72
20	13	14.99
20	14	20.26
20	15	34.59
20	16	34.59
20	17	45.0
20	18	51.0
20	19	51.0
20	20	45.0
20	21	34.22
20	22	30.2
20	23	25.39
20	24	26.75
21	1	0.97
21	2	0.99
21	3	1.01
21	4	3.5
21	5	3.5
21	6	5.63
21	7	6.98
21	8	9.89
21	9	11.38
21	10	9.42
21	11	5.35
21	12	4.93
21	13	4.9
21	14	4.25
21	15	4.27
21	16	4.42
21	17	4.95
21	18	4.91
21	19	4.12
21	20	3.17
21	21	1.98
21	22	0.93
21	23	0.03
21	24	-0.01
22	1	46.14
22	2	39.6
22	3	32.56
22	4	28.49
22	5	26.82
22	6	10.25
22	7	0.1
22	8	49.0
22	9	48.5
22	10	45.0
22	11	45.0
22	12	40.0
22	13	50.0
22	14	50.0
22	15	50.0
22	16	45.0
22	17	27.0
22	18	56.5
22	19	63.5
22	20	60.0
22	21	59.08
22	22	59.31
22	23	56.03
22	24	51.0
23	1	33.09
23	2	32.93
23	3	32.85
23	4	32.82
23	5	33.23
23	6	35.4
23	7	50.02
23	8	64.93
23	9	60.67
23	10	59.72
23	11	60.63
23	12	59.55
23	13	46.39
23	14	44.99
23	15	41.34
23	16	44.95
23	17	44.92
23	18	48.39
23	19	45.91
23	20	51.76
23	21	55.51
23	22	53.21
23	23	41.91
23	24	37.53
24	1	7.94
24	2	7.4
24	3	7.19
24	4	7.22
24	5	14.0
24	6	15.72
24	7	15.67
24	8	9.94
24	9	16.0
24	10	16.0
24	11	3.65
24	12	2.86
24	13	1.96
24	14	3.09
24	15	5.43
24	16	11.28
24	17	13.69
24	18	15.0
24	19	14.21
24	20	12.48
24	21	10.9
24	22	9.01
24	23	7.53
24	24	14.5
25	1	4.54
25	2	3.97
25	3	3.88
25	4	3.75
25	5	3.88
25	6	3.9
25	7	4.7
25	8	5.11
25	9	5.55
25	10	5.92
25	11	2.49
25	12	0.04
25	13	0.01
25	14	1.19
25	15	3.14
25	16	5.34
25	17	11.0
25	18	11.0
25	19	5.13
25	20	3.85
25	21	3.19
25	22	3.85
25	23	1.52
25	24	0.43
26	1	46.14
26	2	39.6
26	3	32.56
26	4	28.49
26	5	26.82
26	6	10.25
26	7	0.1
26	8	49.0
26	9	48.5
26	10	45.0
26	11	45.0
26	12	40.0
26	13	50.0
26	14	50.0
26	15	50.0
26	16	45.0
26	17	27.0
26	18	56.5
26	19	63.5
26	20	60.0
26	21	59.08
26	22	59.31
26	23	56.03
26	24	51.0
27	1	28.0
27	2	27.5
27	3	25.62
27	4	25.62
27	5	25.62
27	6	28.0
27	7	28.0
27	8	28.0
27	9	28.0
27	10	27.0
27	11	23.96
27	12	8.0
27	13	0.01
27	14	19.0
27	15	24.69
27	16	25.0
27	17	23.13
27	18	24.72
27	19	28.0
27	20	30.0
27	21	30.0
27	22	25.0
27	23	23.18
27	24	23.27
28	1	11.72
28	2	9.5
28	3	9.49
28	4	9.49
28	5	8.24
28	6	12.65
28	7	16.98
28	8	17.71
28	9	18.43
28	10	20.29
28	11	24.99
28	12	41.93
28	13	30.46
28	14	24.99
28	15	14.62
28	16	14.78
28	17	14.58
28	18	14.35
28	19	14.85
28	20	14.88
28	21	14.39
28	22	13.66
28	23	11.32
28	24	11.77
29	1	32.56
29	2	31.92
29	3	32.07
29	4	32.67
29	5	32.56
29	6	27.77
29	7	17.58
29	8	0.29
29	9	-2.29
29	10	-3.02
29	11	-3.4
29	12	-4.22
29	13	-5.16
29	14	-6.41
29	15	-4.78
29	16	7.65
29	17	24.47
29	18	31.97
29	19	33.6
29	20	33.6
29	21	33.56
29	22	33.63
29	23	33.37
29	24	32.94
30	1	65.5
30	2	65.5
30	3	42.5
30	4	42.5
30	5	31.5
30	6	42.5
30	7	43.5
30	8	44.0
30	9	44.0
30	10	35.02
30	11	35.01
30	12	33.84
30	13	33.91
30	14	34.13
30	15	33.65
30	16	33.1
30	17	33.01
30	18	32.4
30	19	30.65
30	20	30.52
30	21	31.22
30	22	32.48
30	23	30.34
30	24	31.56
31	1	3.89
31	2	3.85
31	3	3.75
31	4	3.63
31	5	3.49
31	6	3.82
31	7	4.07
31	8	4.18
31	9	8.0
31	10	4.79
31	11	4.92
31	12	4.32
31	13	-0.04
31	14	4.32
31	15	4.33
31	16	5.01
31	17	5.01
31	18	5.25
31	19	5.56
31	20	5.96
31	21	6.83
31	22	9.84
31	23	5.5
31	24	11.26
32	1	28.0
32	2	27.5
32	3	25.62
32	4	25.62
32	5	25.62
32	6	28.0
32	7	28.0
32	8	28.0
32	9	28.0
32	10	27.0
32	11	23.96
32	12	8.0
32	13	0.01
32	14	19.0
32	15	24.69
32	16	25.0
32	17	23.13
32	18	24.72
32	19	28.0
32	20	30.0
32	21	30.0
32	22	25.0
32	23	23.18
32	24	23.27
33	1	26.53
33	2	35.0
33	3	33.0
33	4	21.92
33	5	20.76
33	6	21.91
33	7	26.05
33	8	28.41
33	9	28.91
33	10	25.04
33	11	13.01
33	12	0.01
33	13	-0.01
33	14	15.05
33	15	26.41
33	16	30.52
33	17	30.41
33	18	29.3
33	19	28.42
33	20	27.03
33	21	26.99
33	22	26.49
33	23	27.56
33	24	27.48
34	1	68.64
34	2	60.5
34	3	60.5
34	4	60.5
34	5	60.5
34	6	60.5
34	7	60.5
34	8	60.5
34	9	60.5
34	10	29.0
34	11	19.0
34	12	11.0
34	13	11.0
34	14	9.16
34	15	8.1
34	16	36.82
34	17	65.17
34	18	69.0
34	19	61.5
34	20	51.0
34	21	50.5
34	22	50.22
34	23	47.37
34	24	48.06
35	1	29.88
35	2	30.0
35	3	30.0
35	4	28.9
35	5	28.18
35	6	27.03
35	7	30.0
35	8	33.41
35	9	40.0
35	10	36.0
35	11	23.0
35	12	3.24
35	13	11.67
35	14	11.67
35	15	1.05
35	16	32.0
35	17	30.0
35	18	30.0
35	19	28.89
35	20	28.42
35	21	29.67
35	22	30.15
35	23	28.9
35	24	24.1
36	1	20.92
36	2	20.43
36	3	19.98
36	4	19.93
36	5	19.96
36	6	22.01
36	7	30.0
36	8	30.0
36	9	29.87
36	10	28.98
36	11	23.6
36	12	23.51
36	13	23.33
36	14	23.12
36	15	22.98
36	16	23.25
36	17	23.06
36	18	23.07
36	19	25.0
36	20	25.0
36	21	22.96
36	22	22.91
36	23	22.44
36	24	19.91
37	1	13.62
37	2	13.06
37	3	12.74
37	4	12.93
37	5	13.05
37	6	14.42
37	7	16.5
37	8	29.0
37	9	29.0
37	10	29.0
37	11	16.0
37	12	14.01
37	13	12.48
37	14	14.53
37	15	15.01
37	16	15.06
37	17	17.0
37	18	17.0
37	19	17.0
37	20	17.0
37	21	14.98
37	22	14.74
37	23	14.01
37	24	5.18
38	1	77.0
38	2	69.75
38	3	66.0
38	4	64.0
38	5	64.0
38	6	64.0
38	7	64.45
38	8	68.55
38	9	75.0
38	10	78.85
38	11	74.07
38	12	73.01
38	13	69.75
38	14	70.79
38	15	73.39
38	16	81.0
38	17	95.0
38	18	102.0
38	19	102.0
38	20	91.57
38	21	88.0
38	22	73.39
38	23	70.42
38	24	66.99
39	1	56.0
39	2	56.0
39	3	56.0
39	4	56.0
39	5	51.35
39	6	52.35
39	7	59.93
39	8	85.66
39	9	85.66
39	10	76.27
39	11	67.81
39	12	59.12
39	13	62.5
39	14	55.0
39	15	55.0
39	16	59.44
39	17	55.93
39	18	67.0
39	19	67.0
39	20	64.0
39	21	64.0
39	22	51.54
39	23	50.53
39	24	50.13
40	1	35.0
40	2	25.64
40	3	25.51
40	4	26.47
40	5	25.15
40	6	35.97
40	7	39.53
40	8	71.77
40	9	78.52
40	10	57.38
40	11	48.27
40	12	43.81
40	13	46.0
40	14	55.0
40	15	50.0
40	16	51.0
40	17	55.0
40	18	55.0
40	19	46.0
40	20	40.0
40	21	38.01
40	22	38.02
40	23	37.55
40	24	35.63
41	1	37.24
41	2	37.15
41	3	37.04
41	4	37.09
41	5	37.49
41	6	37.69
41	7	39.77
41	8	39.95
41	9	39.94
41	10	41.0
41	11	41.0
41	12	40.0
41	13	38.5
41	14	40.0
41	15	42.0
41	16	47.0
41	17	48.0
41	18	45.0
41	19	46.0
41	20	42.0
41	21	38.52
41	22	34.99
41	23	26.18
41	24	0.0
42	1	57.44
42	2	53.44
42	3	51.39
42	4	50.32
42	5	49.37
42	6	48.92
42	7	48.0
42	8	48.97
42	9	47.28
42	10	52.0
