Node	Time	CapacityUpPrice
1	1	2.0
1	2	2.0
1	3	2.0
1	4	2.0
1	5	7.0
1	6	20.0
1	7	34.0
1	8	36.0
1	9	34.0
1	10	28.0
1	11	23.0
1	12	11.0
1	13	6.0
1	14	5.0
1	15	6.0
1	16	5.0
1	17	5.0
1	18	11.04
1	19	36.0
1	20	36.0
1	21	34.0
1	22	28.0
1	23	19.0
1	24	2.0
2	1	8.0
2	2	3.2
2	3	3.2
2	4	3.2
2	5	3.2
2	6	4.0
2	7	10.0
2	8	26.4
2	9	26.4
2	10	24.0
2	11	7.2
2	12	13.6
2	13	13.0
2	14	13.0
2	15	16.8
2	16	15.2
2	17	19.2
2	18	19.2
2	19	16.8
2	20	12.0
2	21	10.4
2	22	9.6
2	23	9.0
2	24	6.0
3	1	2.0
3	2	2.0
3	3	2.0
3	4	2.0
3	5	2.0
3	6	4.0
3	7	12.41
3	8	13.0
3	9	11.0
3	10	7.0
3	11	6.0
3	12	4.0
3	13	5.0
3	14	4.0
3	15	6.0
3	16	6.0
3	17	9.0
3	18	10.0
3	19	9.0
3	20	7.0
3	21	5.0
3	22	3.0
3	23	2.0
3	24	4.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	2.0
4	6	35.7
4	7	58.8
4	8	58.8
4	9	48.3
4	10	31.5
4	11	14.7
4	12	8.0
4	13	6.0
4	14	4.2
4	15	2.0
4	16	5.0
4	17	18.9
4	18	48.3
4	19	63.0
4	20	56.7
4	21	48.3
4	22	39.0
4	23	2.1
4	24	2.0
5	1	2.0
5	2	2.0
5	3	2.0
5	4	2.0
5	5	3.5
5	6	16.0
5	7	57.5
5	8	54.0
5	9	36.54
5	10	16.0
5	11	26.0
5	12	28.0
5	13	8.99
5	14	5.0
5	15	4.5
5	16	6.0
5	17	10.5
5	18	18.0
5	19	56.87
5	20	61.0
5	21	72.0
5	22	23.0
5	23	24.13
5	24	3.5
6	1	4.0
6	2	3.0
6	3	3.0
6	4	5.0
6	5	6.0
6	6	18.0
6	7	55.0
6	8	61.0
6	9	44.5
6	10	18.56
6	11	7.0
6	12	6.0
6	13	8.5
6	14	4.5
6	15	8.5
6	16	9.0
6	17	24.5
6	18	23.0
6	19	19.0
6	20	24.0
6	21	22.0
6	22	9.0
6	23	5.0
6	24	3.0
7	1	2.0
7	2	2.0
7	3	2.0
7	4	2.0
7	5	2.0
7	6	5.0
7	7	24.5
7	8	6.5
7	9	5.5
7	10	5.5
7	11	5.5
7	12	5.5
7	13	4.5
7	14	4.0
7	15	2.0
7	16	2.0
7	17	3.0
7	18	5.0
7	19	8.0
7	20	8.0
7	21	8.0
7	22	5.0
7	23	2.0
7	24	2.0
8	1	2.0
8	2	2.0
8	3	2.0
8	4	2.0
8	5	2.0
8	6	2.0
8	7	7.0
8	8	21.0
8	9	20.7
8	10	15.4
8	11	11.9
8	12	10.0
8	13	8.0
8	14	8.0
8	15	8.5
8	16	9.0
8	17	10.6
8	18	17.5
8	19	15.3
8	20	12.0
8	21	8.0
8	22	4.0
8	23	2.0
8	24	2.0
9	1	1.6
9	2	1.6
9	3	1.6
9	4	1.6
9	5	1.6
9	6	1.8
9	7	1.8
9	8	1.8
9	9	1.6
9	10	1.6
9	11	1.5
9	12	1.5
9	13	1.5
9	14	1.5
9	15	1.5
9	16	1.6
9	17	1.6
9	18	2.0
9	19	3.0
9	20	4.0
9	21	4.0
9	22	4.0
9	23	2.5
9	24	1.5
10	1	1.8
10	2	1.8
10	3	1.8
10	4	1.8
10	5	2.0
10	6	5.0
10	7	5.4
10	8	6.0
10	9	5.4
10	10	5.0
10	11	5.0
10	12	5.0
10	13	5.0
10	14	5.0
10	15	5.4
10	16	6.0
10	17	6.0
10	18	6.0
10	19	6.0
10	20	6.0
10	21	6.0
10	22	4.8
10	23	5.0
10	24	6.0
11	1	1.5
11	2	1.5
11	3	1.5
11	4	1.5
11	5	1.5
11	6	1.5
11	7	1.5
11	8	1.5
11	9	1.5
11	10	1.5
11	11	1.5
11	12	1.5
11	13	1.5
11	14	1.5
11	15	1.5
11	16	1.5
11	17	1.5
11	18	2.0
11	19	3.0
11	20	5.0
11	21	4.5
11	22	3.5
11	23	3.0
11	24	4.5
12	1	2.0
12	2	2.0
12	3	2.0
12	4	2.0
12	5	2.0
12	6	2.0
12	7	3.0
12	8	6.0
12	9	7.0
12	10	6.0
12	11	5.0
12	12	5.0
12	13	4.0
12	14	4.0
12	15	4.0
12	16	4.0
12	17	5.0
12	18	6.0
12	19	6.0
12	20	5.0
12	21	5.0
12	22	4.0
12	23	3.0
12	24	3.0
13	1	2.0
13	2	2.0
13	3	2.0
13	4	2.0
13	5	2.0
13	6	4.0
13	7	8.0
13	8	10.0
13	9	8.0
13	10	7.0
13	11	6.0
13	12	5.0
13	13	5.0
13	14	4.0
13	15	5.0
13	16	5.0
13	17	7.0
13	18	7.0
13	19	7.0
13	20	8.0
13	21	6.0
13	22	3.0
13	23	2.0
13	24	2.0
14	1	2.0
14	2	2.0
14	3	2.0
14	4	2.0
14	5	3.5
14	6	16.0
14	7	57.5
14	8	54.0
14	9	36.54
14	10	16.0
14	11	26.0
14	12	28.0
14	13	8.99
14	14	5.0
14	15	4.5
14	16	6.0
14	17	10.5
14	18	18.0
14	19	56.87
14	20	61.0
14	21	72.0
14	22	23.0
14	23	24.13
14	24	3.5
15	1	2.0
15	2	2.0
15	3	2.0
15	4	2.0
15	5	2.0
15	6	15.0
15	7	23.5
15	8	24.5
15	9	21.5
15	10	5.0
15	11	3.0
15	12	4.0
15	13	4.0
15	14	4.0
15	15	4.0
15	16	6.27
15	17	5.0
15	18	5.0
15	19	25.5
15	20	25.5
15	21	25.5
15	22	19.0
15	23	3.0
15	24	4.5
16	1	3.0
16	2	2.0
16	3	2.0
16	4	2.0
16	5	9.5
16	6	31.79
16	7	43.0
16	8	64.0
16	9	64.0
16	10	31.0
16	11	15.0
16	12	12.5
16	13	8.5
16	14	8.5
16	15	7.0
16	16	10.5
16	17	18.89
16	18	43.0
16	19	44.0
16	20	43.5
16	21	22.0
16	22	14.0
